Data_Zone, SIMD_tot , Inc_rank , Emp_rank , Hlth_rank , Edu_rank , Hou_rank , Acc_rank , Crime_rank 
S01008773,0.25,0.29,0.21,0.20,0.29,0.13,0.68,0.45
S01008774,0.12,0.15,0.10,0.09,0.17,0.15,0.77,0.07
S01008775,0.32,0.31,0.25,0.37,0.60,0.41,0.89,0.07
S01008776,0.08,0.10,0.06,0.06,0.20,0.08,0.89,0.11
S01008777,0.05,0.07,0.03,0.03,0.11,0.16,0.78,0.16
S01008778,0.33,0.35,0.30,0.33,0.33,0.17,0.55,0.62
S01008779,0.63,0.68,0.59,0.81,0.43,0.56,0.52,0.80
S01008780,0.31,0.33,0.31,0.41,0.17,0.25,0.65,0.35
S01008781,0.25,0.29,0.26,0.20,0.31,0.10,0.54,0.19
S01008782,0.24,0.23,0.25,0.24,0.19,0.23,0.86,0.52
S01008783,0.44,0.37,0.37,0.77,0.49,0.19,0.77,0.24
S01008784,0.47,0.55,0.49,0.58,0.24,0.24,0.74,0.61
S01008785,0.06,0.06,0.05,0.06,0.20,0.19,0.77,0.06
S01008786,0.27,0.34,0.26,0.24,0.28,0.07,0.99,0.08
S01008787,0.01,0.01,0.00,0.01,0.01,0.14,0.77,0.05
S01008788,0.39,0.44,0.47,0.41,0.25,0.05,0.97,0.16
S01008789,0.11,0.07,0.13,0.07,0.24,0.16,0.87,0.08
S01008790,0.13,0.15,0.12,0.12,0.30,0.15,0.99,0.01
S01008791,0.32,0.27,0.45,0.54,0.25,0.13,0.73,0.07
S01008792,0.22,0.23,0.20,0.23,0.32,0.19,0.92,0.05
S01008793,0.13,0.17,0.12,0.16,0.16,0.03,0.98,0.02
S01008794,0.20,0.18,0.25,0.11,0.24,0.22,0.81,0.54
S01008795,0.45,0.46,0.41,0.42,0.44,0.07,0.83,0.80
S01008796,0.27,0.32,0.30,0.19,0.22,0.05,0.90,0.22
S01008797,0.37,0.35,0.37,0.31,0.34,0.06,0.91,0.44
S01008798,0.31,0.28,0.26,0.38,0.39,0.10,0.74,0.38
S01008799,0.34,0.39,0.46,0.40,0.20,0.02,0.39,0.34
S01008800,0.44,0.46,0.42,0.57,0.40,0.00,0.36,0.89
S01008801,0.34,0.40,0.37,0.42,0.22,0.06,0.72,0.28
S01008802,0.29,0.29,0.29,0.21,0.32,0.02,0.58,0.70
S01008803,0.21,0.23,0.19,0.15,0.29,0.04,0.77,0.26
S01008804,0.22,0.23,0.23,0.15,0.34,0.01,0.63,0.16
S01008805,0.51,0.55,0.55,0.49,0.43,0.15,0.80,0.35
S01008806,0.48,0.50,0.47,0.59,0.39,0.14,0.65,0.40
S01008807,0.38,0.35,0.33,0.33,0.34,0.10,0.86,0.71
S01008808,0.38,0.32,0.28,0.30,0.58,0.34,0.96,0.46
S01008809,0.54,0.68,0.56,0.89,0.46,0.42,0.56,0.13
S01008810,0.83,0.69,0.89,0.97,0.47,0.50,0.88,0.90
S01008811,0.73,0.78,0.67,0.86,0.72,0.28,0.92,0.32
S01008812,0.68,0.63,0.68,0.79,0.53,0.20,0.94,0.73
S01008813,0.20,0.22,0.17,0.21,0.27,0.16,0.42,0.47
S01008814,0.42,0.38,0.33,0.48,0.48,0.24,0.83,0.26
S01008815,0.28,0.25,0.23,0.34,0.32,0.08,0.78,0.30
S01008816,0.34,0.40,0.30,0.32,0.31,0.14,0.76,0.31
S01008817,0.23,0.25,0.22,0.21,0.21,0.15,0.77,0.19
S01008818,0.58,0.61,0.57,0.60,0.59,0.30,0.53,0.43
S01008819,0.56,0.60,0.53,0.39,0.77,0.59,0.83,0.24
S01008820,0.16,0.17,0.13,0.15,0.26,0.16,0.99,0.13
S01008821,0.66,0.50,0.68,0.72,0.62,0.52,0.94,0.64
S01008822,0.75,0.63,0.59,0.88,0.89,0.77,0.88,0.62
S01008823,0.69,0.61,0.67,0.65,0.78,0.76,0.85,0.25
S01008824,0.82,0.67,0.80,0.69,0.69,0.66,0.78,0.60
S01008825,0.85,0.76,0.87,0.60,0.77,0.73,0.67,0.47
S01008826,0.38,0.42,0.26,0.32,0.61,0.18,0.46,0.31
S01008827,0.87,0.83,0.90,0.79,0.98,0.92,0.35,0.31
S01008828,0.63,0.65,0.58,0.72,0.59,0.49,0.44,0.52
S01008829,0.63,0.56,0.60,0.59,0.64,0.74,0.68,0.43
S01008830,0.66,0.78,0.58,0.63,0.64,0.78,0.58,0.32
S01008831,0.77,0.75,0.65,0.82,0.89,0.93,0.58,0.27
